"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Infected","Tp.Cage","Tp.ABX","Tp.Infect","ABX.Infect","Tp.ABX.Infect","NaturalMicro","InfectionStage","InfectStage2","InfectStageDepo","InfectStagePreUM","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"13411","dee47612fb4f8a3991fbd89dfd2f10da","LK16S004-220",0.194626474442988,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_220_S224_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_220_S224_R2_001.fastq.gz","10-13-M8-1","LK16S004_220","Baseline","E3","10/13/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp7","Timepoint 7","7","10","None","Mock","Tp7_Cage8","Tp7_None","Tp7_Mock","None_Mock","Tp7_None_Mock","No","8 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"14265","ecffc2022c0e89787d19d43381a157a7","LK16S004-156",0.194480946123522,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_156_S160_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_156_S160_R2_001.fastq.gz","09-16-M7-2","LK16S004_156","Baseline","E3","9/16/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp5","Timepoint 5","5","6","None","Infected","Tp5_Cage7","Tp5_None","Tp5_Infected","None_Infected","Tp5_None_Infected","No","4 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",4470,"Low","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"4847","4e269cbdd41f328dabf501e891c0c3ce","LK16S004-162",0.192780968006563,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R2_001.fastq.gz","09-16-M8-5","LK16S004_162","Baseline","E3","9/16/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp5","Timepoint 5","5","6","None","Mock","Tp5_Cage8","Tp5_None","Tp5_Mock","None_Mock","Tp5_None_Mock","No","4 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"2292","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-086",0.191077441077441,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_086_S86_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_086_S86_R2_001.fastq.gz","08-19-M6-3","LK16S004_086","Baseline","E3","8/19/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Untouched","Tp3_Cage6","Tp3_None","Tp3_Untouched","None_Untouched","Tp3_None_Untouched","Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"6950","5f9c632fdbb71b06c495aed0fa3795ea","LK16S004-134",0.188405797101449,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_134_S138_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_134_S138_R2_001.fastq.gz","09-01-M11-1","LK16S004_134","Baseline","E3","9/1/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp4","Timepoint 4","4","4","None","Infected","Tp4_Cage11","Tp4_None","Tp4_Infected","None_Infected","Tp4_None_Infected","No","2 wks post-MmuPV1 infection","Infected","Infected","Infected","Infection Establishment (2wpi)",NA,"","CIN3","High ","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"2222","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-125",0.186666666666667,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_125_S129_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_125_S129_R2_001.fastq.gz","09-01-M8-3","LK16S004_125","Baseline","E3","9/1/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp4","Timepoint 4","4","4","None","Mock","Tp4_Cage8","Tp4_None","Tp4_Mock","None_Mock","Tp4_None_Mock","No","2 wks post-MmuPV1 infection","Infected","Infected","Mock","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"11956","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-126",0.185151237396884,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R2_001.fastq.gz","09-01-M8-4","LK16S004_126","Baseline","E3","9/1/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp4","Timepoint 4","4","4","None","Mock","Tp4_Cage8","Tp4_None","Tp4_Mock","None_Mock","Tp4_None_Mock","No","2 wks post-MmuPV1 infection","Infected","Infected","Mock","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"5621","51ad0deb6331cb77f17cde5970059539","LK16S004-062",0.184923958562927,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_062_S62_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_062_S62_R2_001.fastq.gz","08-12-M08-4","LK16S004_062","Baseline","E3","8/12/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Mock","Tp2_Cage8","Tp2_None","Tp2_Mock","None_Mock","Tp2_None_Mock","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"2293","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-032",0.181959564541213,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_032_S32_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_032_S32_R2_001.fastq.gz","07-28-M11-3","LK16S004_032","Baseline","E3","7/28/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp1","Timepoint 1","1","0","None","Infected","Tp1_Cage11","Tp1_None","Tp1_Infected","None_Infected","Tp1_None_Infected","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN2","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2483","245242d6b16e9f8cb1017229e230b4ea","LK16S004-192",0.180791556728232,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_192_S196_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_192_S196_R2_001.fastq.gz","09-29-M8-4","LK16S004_192","Baseline","E3","9/29/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter"
"13387","dee47612fb4f8a3991fbd89dfd2f10da","LK16S004-016",0.178707224334601,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_016_S16_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_016_S16_R2_001.fastq.gz","07-28-M07-1","LK16S004_016","Baseline","E3","7/28/20","M7-1","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp1","Timepoint 1","1","0","None","Infected","Tp1_Cage7","Tp1_None","Tp1_Infected","None_Infected","Tp1_None_Infected","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"2194","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-191",0.178300455235205,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_191_S195_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_191_S195_R2_001.fastq.gz","09-29-M8-3","LK16S004_191","Baseline","E3","9/29/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"12321","d73df1fbada42d193062fb2b46869ac1","LK16S004-242",0.177811550151976,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R2_001.fastq.gz","10-27-M6-1","LK16S004_242","Baseline","E3","10/27/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp8","Timepoint 8","8","12","None","Untouched","Tp8_Cage6","Tp8_None","Tp8_Untouched","None_Untouched","Tp8_None_Untouched","No","10 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes"
"11965","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-085",0.177083333333333,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_085_S85_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_085_S85_R2_001.fastq.gz","08-19-M6-2","LK16S004_085","Baseline","E3","8/19/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Untouched","Tp3_Cage6","Tp3_None","Tp3_Untouched","None_Untouched","Tp3_None_Untouched","Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"14601","f36c161e4341ca7c0fd5d7615f736706","LK16S004-135",0.176983035304906,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_135_S139_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_135_S139_R2_001.fastq.gz","09-01-M11-2","LK16S004_135","Baseline","E3","9/1/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp4","Timepoint 4","4","4","None","Infected","Tp4_Cage11","Tp4_None","Tp4_Infected","None_Infected","Tp4_None_Infected","No","2 wks post-MmuPV1 infection","Infected","Infected","Infected","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2249","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-169",0.174193548387097,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_169_S173_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_169_S173_R2_001.fastq.gz","09-16-M11-1","LK16S004_169","Baseline","E3","9/16/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp5","Timepoint 5","5","6","None","Infected","Tp5_Cage11","Tp5_None","Tp5_Infected","None_Infected","Tp5_None_Infected","No","4 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",4690,"Low","CIN3","High ","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"13413","dee47612fb4f8a3991fbd89dfd2f10da","LK16S004-192",0.173403693931398,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_192_S196_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_192_S196_R2_001.fastq.gz","09-29-M8-4","LK16S004_192","Baseline","E3","9/29/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"2294","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-201",0.173344947735192,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_201_S205_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_201_S205_R2_001.fastq.gz","09-29-M11-3","LK16S004_201","Baseline","E3","9/29/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage11","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2202","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-054",0.171561051004637,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_054_S54_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_054_S54_R2_001.fastq.gz","08-12-M6-3","LK16S004_054","Baseline","E3","8/12/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Untouched","Tp2_Cage6","Tp2_None","Tp2_Untouched","None_Untouched","Tp2_None_Untouched","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"14266","ecffc2022c0e89787d19d43381a157a7","LK16S004-182",0.170798898071625,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_182_S186_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_182_S186_R2_001.fastq.gz","09-29-M6-1","LK16S004_182","Baseline","E3","9/29/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp6","Timepoint 6","6","8","None","Untouched","Tp6_Cage6","Tp6_None","Tp6_Untouched","None_Untouched","Tp6_None_Untouched","No","6 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"15379","fbe681bb9d21244b516cdfdb7f230b69","LK16S004-230",0.169329073482428,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_230_S234_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_230_S234_R2_001.fastq.gz","10-13-M11-1","LK16S004_230","Baseline","E3","10/13/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp7","Timepoint 7","7","10","None","Infected","Tp7_Cage11","Tp7_None","Tp7_Infected","None_Infected","Tp7_None_Infected","No","8 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN3","High ","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"2247","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-218",0.166991552956465,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_218_S222_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_218_S222_R2_001.fastq.gz","10-13-M7-2","LK16S004_218","Baseline","E3","10/13/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp7","Timepoint 7","7","10","None","Infected","Tp7_Cage7","Tp7_None","Tp7_Infected","None_Infected","Tp7_None_Infected","No","8 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"791","0b7a378bbfed394963590993a56ab4db","LK16S004-135",0.16552040348464,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_135_S139_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_135_S139_R2_001.fastq.gz","09-01-M11-2","LK16S004_135","Baseline","E3","9/1/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp4","Timepoint 4","4","4","None","Infected","Tp4_Cage11","Tp4_None","Tp4_Infected","None_Infected","Tp4_None_Infected","No","2 wks post-MmuPV1 infection","Infected","Infected","Infected","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
"9512","918209c8469751973270ceab61151264","LK16S004-283",0.164209933339593,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_283_S289_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_283_S289_R2_001.fastq.gz","11-10-M8-3","LK16S004_283","Baseline","E3","11/10/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp9","Timepoint 9","9","14","None","Mock","Tp9_Cage8","Tp9_None","Tp9_Mock","None_Mock","Tp9_None_Mock","No","12 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"2516","245242d6b16e9f8cb1017229e230b4ea","LK16S004-187",0.162479338842975,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R2_001.fastq.gz","09-29-M7-2","LK16S004_187","Baseline","E3","9/29/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter"
"5568","51ad0deb6331cb77f17cde5970059539","LK16S004-032",0.160186625194401,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_032_S32_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_032_S32_R2_001.fastq.gz","07-28-M11-3","LK16S004_032","Baseline","E3","7/28/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp1","Timepoint 1","1","0","None","Infected","Tp1_Cage11","Tp1_None","Tp1_Infected","None_Infected","Tp1_None_Infected","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN2","Low","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"13379","dee47612fb4f8a3991fbd89dfd2f10da","LK16S004-187",0.156363636363636,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R2_001.fastq.gz","09-29-M7-2","LK16S004_187","Baseline","E3","9/29/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"14262","ecffc2022c0e89787d19d43381a157a7","LK16S004-169",0.154838709677419,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_169_S173_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_169_S173_R2_001.fastq.gz","09-16-M11-1","LK16S004_169","Baseline","E3","9/16/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp5","Timepoint 5","5","6","None","Infected","Tp5_Cage11","Tp5_None","Tp5_Infected","None_Infected","Tp5_None_Infected","No","4 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",4690,"Low","CIN3","High ","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2204","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-215",0.152910512597741,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_215_S219_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_215_S219_R2_001.fastq.gz","10-13-M6-3","LK16S004_215","Baseline","E3","10/13/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp7","Timepoint 7","7","10","None","Untouched","Tp7_Cage6","Tp7_None","Tp7_Untouched","None_Untouched","Tp7_None_Untouched","No","8 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"11853","c289964c026e9e3ffd4d61fccdf8b378","LK16S004-012",0.152087242026266,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R2_001.fastq.gz","07-28-M6-1","LK16S004_012","Baseline","E3","7/28/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Untouched","Tp1_Cage6","Tp1_None","Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]"
"2108","1a98ff4f7e42b825bd257e038465432f","LK16S004-094",0.152006485610053,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R2_001.fastq.gz","08-19-M08-4","LK16S004_094","Baseline","E3","8/19/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"11999","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-060",0.149369544131911,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_060_S60_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_060_S60_R2_001.fastq.gz","08-12-M08-2","LK16S004_060","Baseline","E3","8/12/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Mock","Tp2_Cage8","Tp2_None","Tp2_Mock","None_Mock","Tp2_None_Mock","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"4808","4e269cbdd41f328dabf501e891c0c3ce","LK16S004-126",0.147571035747021,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R2_001.fastq.gz","09-01-M8-4","LK16S004_126","Baseline","E3","9/1/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp4","Timepoint 4","4","4","None","Mock","Tp4_Cage8","Tp4_None","Tp4_Mock","None_Mock","Tp4_None_Mock","No","2 wks post-MmuPV1 infection","Infected","Infected","Mock","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"11979","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-094",0.147547628698824,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R2_001.fastq.gz","08-19-M08-4","LK16S004_094","Baseline","E3","8/19/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
