"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Tp.Cage","Tp.ABX","NaturalMicro","Infected","InfectStage2","InfectStageDepo","InfectStageDEM","InfectStage","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"4156","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_013",0.125769973338237,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R2_001.fastq.gz","07-21--MP4-2","LKMB005_013","Pilot","E2","21-Jul","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1",1,0,"None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"4187","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_138",0.117228286663503,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_138_S140_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_138_S140_R2_001.fastq.gz","09-29--MP6-1","LKMB005_138","Pilot","E2","29-Sep","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp6","Timepoint 6",6,10,"None","Tp6_Cage6","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","5.29E+03","Low","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"1681","4e269cbdd41f328dabf501e891c0c3ce","LKMB005_134",0.116490792468446,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R2_001.fastq.gz","09-29--MP5-1","LKMB005_134","Pilot","E2","29-Sep","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp6","Timepoint 6",6,10,"None","Tp6_Cage5","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","3.75E+02","Low","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"3502","c3c6b35a7e7fd0a56aab3c29bd47737b","LKMB005_018",0.112667600560336,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R2_001.fastq.gz","07-21--MP5-4","LKMB005_018","Pilot","E2","21-Jul","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","Low","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"3636","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_068",0.110526711248028,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_068_S68_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_068_S68_R2_001.fastq.gz","08-19--MP6-2","LKMB005_068","Pilot","E2","19-Aug","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp3","Timepoint 3",3,4,"None","Tp3_Cage6","Tp3_None","No","Infected","Infected","Infected","Infection Establishment (2wpi)","2 wks post-infection with MmuPV1","1.34E+04","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"3625","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_038",0.108952380952381,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R2_001.fastq.gz","08-04--MP5-1","LKMB005_038","Pilot","E2","4-Aug","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"3623","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_082",0.108611825192802,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R2_001.fastq.gz","09-01--MP4-2","LKMB005_082","Pilot","E2","1-Sep","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp4","Timepoint 4",4,6,"None","Tp4_Cage4","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","4.26E+05","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"2590","8bee7ed6663d89437e1534bd0a83c4a7","LKMB005_113",0.10845598522581,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_113_S115_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_113_S115_R2_001.fastq.gz","09-16--MP6-2","LKMB005_113","Pilot","E2","16-Sep","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp5","Timepoint 5",5,8,"None","Tp5_Cage6","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","1.24E+04","Low","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"3611","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_111",0.108172043010753,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R2_001.fastq.gz","09-16--MP5-4","LKMB005_111","Pilot","E2","16-Sep","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","9.48E+03","Low","CIN 2","Low","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"4173","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_084",0.106905969566914,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_084_S84_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_084_S84_R2_001.fastq.gz","09-01--MP5-1","LKMB005_084","Pilot","E2","1-Sep","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp4","Timepoint 4",4,6,"None","Tp4_Cage5","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","2.22E+05","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"3607","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_086",0.105874316939891,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_086_S86_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_086_S86_R2_001.fastq.gz","09-01--MP5-3","LKMB005_086","Pilot","E2","1-Sep","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp4","Timepoint 4",4,6,"None","Tp4_Cage5","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","1.35E+05","High","SCC","Cancer","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"3605","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_089",0.10576731191379,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_089_S89_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_089_S89_R2_001.fastq.gz","09-01--MP6-2","LKMB005_089","Pilot","E2","1-Sep","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp4","Timepoint 4",4,6,"None","Tp4_Cage6","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","2.79E+04","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"3618","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_037",0.105688577093183,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_037_S37_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_037_S37_R2_001.fastq.gz","08-04--MP4-3","LKMB005_037","Pilot","E2","4-Aug","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp2","Timepoint 2",2,2,"None","Tp2_Cage4","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"3627","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_109",0.105008787346221,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_109_S111_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_109_S111_R2_001.fastq.gz","09-16--MP5-2","LKMB005_109","Pilot","E2","16-Sep","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","4.63E+05","High","No Tissue","No Tissue","Unknown","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"4215","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_041",0.103946694003075,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R2_001.fastq.gz","08-04--MP5-4","LKMB005_041","Pilot","E2","4-Aug","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","Low","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"4157","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_161",0.100057587100489,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_161_S163_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_161_S163_R2_001.fastq.gz","10-13--MP4-2","LKMB005_161","Pilot","E2","13-Oct","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp7","Timepoint 7",7,12,"None","Tp7_Cage4","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","4.85E+04","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"3634","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_088",0.0999085644620542,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_088_S88_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_088_S88_R2_001.fastq.gz","09-01--MP6-1","LKMB005_088","Pilot","E2","1-Sep","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp4","Timepoint 4",4,6,"None","Tp4_Cage6","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","3.72E+05","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"4184","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_133",0.0971774193548387,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_133_S135_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_133_S135_R2_001.fastq.gz","09-29--MP4-3","LKMB005_133","Pilot","E2","29-Sep","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp6","Timepoint 6",6,10,"None","Tp6_Cage4","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","1.23E+05","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"1734","4e269cbdd41f328dabf501e891c0c3ce","LKMB005_167",0.0959558823529412,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_167_S169_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_167_S169_R2_001.fastq.gz","10-13--MP6-1","LKMB005_167","Pilot","E2","13-Oct","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp7","Timepoint 7",7,12,"None","Tp7_Cage6","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","6.01E+04","High","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"4198","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_035",0.095,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_035_S35_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_035_S35_R2_001.fastq.gz","08-04--MP4-1","LKMB005_035","Pilot","E2","4-Aug","MP4-1","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp2","Timepoint 2",2,2,"None","Tp2_Cage4","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"3656","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_040",0.0941939468807906,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R2_001.fastq.gz","08-04--MP5-3","LKMB005_040","Pilot","E2","4-Aug","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","Cancer","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"4175","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_109",0.0931458699472759,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_109_S111_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_109_S111_R2_001.fastq.gz","09-16--MP5-2","LKMB005_109","Pilot","E2","16-Sep","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","4.63E+05","High","No Tissue","No Tissue","Unknown","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"2649","91c93208099c5254153fe250684deda0","LKMB005_087",0.092781605807141,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_087_S87_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_087_S87_R2_001.fastq.gz","09-01--MP5-4","LKMB005_087","Pilot","E2","1-Sep","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp4","Timepoint 4",4,6,"None","Tp4_Cage5","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","6.14E+05","High","CIN 2","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"4216","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_082",0.0911882319337332,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R2_001.fastq.gz","09-01--MP4-2","LKMB005_082","Pilot","E2","1-Sep","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp4","Timepoint 4",4,6,"None","Tp4_Cage4","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","4.26E+05","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"4189","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_036",0.0899368011667477,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_036_S36_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_036_S36_R2_001.fastq.gz","08-04--MP4-2","LKMB005_036","Pilot","E2","4-Aug","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp2","Timepoint 2",2,2,"None","Tp2_Cage4","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"3654","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_113",0.0898203592814371,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_113_S115_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_113_S115_R2_001.fastq.gz","09-16--MP6-2","LKMB005_113","Pilot","E2","16-Sep","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp5","Timepoint 5",5,8,"None","Tp5_Cage6","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","1.24E+04","Low","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"1698","4e269cbdd41f328dabf501e891c0c3ce","LKMB005_111",0.0888172043010753,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R2_001.fastq.gz","09-16--MP5-4","LKMB005_111","Pilot","E2","16-Sep","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","9.48E+03","Low","CIN 2","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"4210","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_040",0.0886349598517603,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R2_001.fastq.gz","08-04--MP5-3","LKMB005_040","Pilot","E2","4-Aug","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","Cancer","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"1713","4e269cbdd41f328dabf501e891c0c3ce","LKMB005_133",0.0870967741935484,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_133_S135_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_133_S135_R2_001.fastq.gz","09-29--MP4-3","LKMB005_133","Pilot","E2","29-Sep","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp6","Timepoint 6",6,10,"None","Tp6_Cage4","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","1.23E+05","High","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"3649","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_066",0.0861458139101249,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_066_S66_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_066_S66_R2_001.fastq.gz","08-19--MP5-4","LKMB005_066","Pilot","E2","19-Aug","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp3","Timepoint 3",3,4,"None","Tp3_Cage5","Tp3_None","No","Infected","Infected","Infected","Infection Establishment (2wpi)","2 wks post-infection with MmuPV1","4.75E+05","High","CIN 2","Low","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"606","245242d6b16e9f8cb1017229e230b4ea","LKMB005_135",0.0859419464997154,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_135_S137_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_135_S137_R2_001.fastq.gz","09-29--MP5-2","LKMB005_135","Pilot","E2","29-Sep","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp6","Timepoint 6",6,10,"None","Tp6_Cage5","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","7.08E+04","High","No Tissue","No Tissue","Unknown","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter"
"4214","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_163",0.083292785420445,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_163_S165_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_163_S165_R2_001.fastq.gz","10-13--MP5-1","LKMB005_163","Pilot","E2","13-Oct","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp7","Timepoint 7",7,12,"None","Tp7_Cage5","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","1.50E+03","Low","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"4208","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_085",0.0832395950506187,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_085_S85_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_085_S85_R2_001.fastq.gz","09-01--MP5-2","LKMB005_085","Pilot","E2","1-Sep","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp4","Timepoint 4",4,6,"None","Tp4_Cage5","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","5.21E+05","High","No Tissue","No Tissue","Unknown","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
