sample-id	forward-absolute-filepath	reverse-absolute-filepath	Mouse-ID	LK16Sid	ExName	Ex	LavageDate	MP	SampleOrigin	Cage	ExCage	ExCageTp	Timepoint	TimeP	Timepoint.wks	AntibioticTx	Tp.Cage	Tp.ABX	NaturalMicro	Infected	InfectStage2	InfectStageDepo	InfectStageDEM	InfectStage	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseEndpointRanked	Cleared/PersistentAtEndpoint
LKMB005_043	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_043_S43_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_043_S43_R2_001.fastq.gz	08-04--MP6-2	LKMB005_043	Pilot	E2	4-Aug	MP6-2	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp2	Timepoint 2	2	2	None	Tp2_Cage6	Tp2_None	Post-Depo	Infected	Pre-Infection	Post-Depo	Post-Depo	2wks post-Abx (just prior to N9/Infxn)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_049	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_049_S49_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_049_S49_R2_001.fastq.gz	08-19--MP1-1	LKMB005_049	Pilot	E2	19-Aug	MP1-1	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage1	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.61E+05	High	Hyperplasia	Low	Cleared
LKMB005_050	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_050_S50_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_050_S50_R2_001.fastq.gz	08-19--MP1-2	LKMB005_050	Pilot	E2	19-Aug	MP1-2	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage1	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	4.73E+05	High	CIN 2	Low	Cleared
LKMB005_051	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_051_S51_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_051_S51_R2_001.fastq.gz	08-19--MP1-3	LKMB005_051	Pilot	E2	19-Aug	MP1-3	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage1	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.79E+06	High	CIN 2	Low	Close to cleared
LKMB005_052	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_052_S52_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_052_S52_R2_001.fastq.gz	08-19--MP1-4	LKMB005_052	Pilot	E2	19-Aug	MP1-4	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage1	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	6.96E+05	High	CIN 2	Low	Close to cleared
LKMB005_053	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_053_S53_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_053_S53_R2_001.fastq.gz	08-19--MP2-1	LKMB005_053	Pilot	E2	19-Aug	MP2-1	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage2	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	2.05E+05	High	CIN 2	Low	Cleared 
LKMB005_054	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_054_S54_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_054_S54_R2_001.fastq.gz	08-19--MP2-2	LKMB005_054	Pilot	E2	19-Aug	MP2-2	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage2	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	2.94E+05	High	CIN 2	Low	Persistent
LKMB005_055	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_055_S55_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_055_S55_R2_001.fastq.gz	08-19--MP2-3	LKMB005_055	Pilot	E2	19-Aug	MP2-3	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage2	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	2.56E+05	High	CIN 3	High	Persistent
LKMB005_056	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_056_S56_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_056_S56_R2_001.fastq.gz	08-19--MP2-4	LKMB005_056	Pilot	E2	19-Aug	MP2-4	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage2	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	2.90E+05	High	CIN 3	High	Persistent
LKMB005_057	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_057_S57_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_057_S57_R2_001.fastq.gz	08-19--MP3-1	LKMB005_057	Pilot	E2	19-Aug	MP3-1	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage3	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	6.53E+05	High	CIN 2	Low	Persistent
LKMB005_058	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_058_S58_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_058_S58_R2_001.fastq.gz	08-19--MP3-2	LKMB005_058	Pilot	E2	19-Aug	MP3-2	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage3	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	8.21E+04	High	CIN 3	High	Persistent
LKMB005_059	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_059_S59_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_059_S59_R2_001.fastq.gz	08-19--MP3-3	LKMB005_059	Pilot	E2	19-Aug	MP3-3	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp3	Timepoint 3	3	4	ABX	Tp3_Cage3	Tp3_ABX	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.52E+05	High	CIN 3	High	Persistent
LKMB005_060	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_060_S60_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_060_S60_R2_001.fastq.gz	08-19--MP4-1	LKMB005_060	Pilot	E2	19-Aug	MP4-1	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp3	Timepoint 3	3	4	None	Tp3_Cage4	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	4.46E+05	High	CIN 3	High	Persistent
LKMB005_061	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_061_S61_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_061_S61_R2_001.fastq.gz	08-19--MP4-2	LKMB005_061	Pilot	E2	19-Aug	MP4-2	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp3	Timepoint 3	3	4	None	Tp3_Cage4	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.13E+05	High	CIN 3	High	Persistent
LKMB005_062	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_062_S62_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_062_S62_R2_001.fastq.gz	08-19--MP4-3	LKMB005_062	Pilot	E2	19-Aug	MP4-3	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp3	Timepoint 3	3	4	None	Tp3_Cage4	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.69E+05	High	CIN 3	High	Persistent
LKMB005_063	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_063_S63_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_063_S63_R2_001.fastq.gz	08-19--MP5-1	LKMB005_063	Pilot	E2	19-Aug	MP5-1	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp3	Timepoint 3	3	4	None	Tp3_Cage5	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.86E+05	High	CIN 3	High	Persistent
LKMB005_064	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_064_S64_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_064_S64_R2_001.fastq.gz	08-19--MP5-2	LKMB005_064	Pilot	E2	19-Aug	MP5-2	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp3	Timepoint 3	3	4	None	Tp3_Cage5	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.80E+05	High	No Tissue	No Tissue	Unknown
LKMB005_065	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_065_S65_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_065_S65_R2_001.fastq.gz	08-19--MP5-3	LKMB005_065	Pilot	E2	19-Aug	MP5-3	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp3	Timepoint 3	3	4	None	Tp3_Cage5	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	4.20E+04	High	SCC	Cancer	Persistent
LKMB005_066	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_066_S66_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_066_S66_R2_001.fastq.gz	08-19--MP5-4	LKMB005_066	Pilot	E2	19-Aug	MP5-4	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp3	Timepoint 3	3	4	None	Tp3_Cage5	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	4.75E+05	High	CIN 2	Low	Persistent
LKMB005_067	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_067_S67_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_067_S67_R2_001.fastq.gz	08-19--MP6-1	LKMB005_067	Pilot	E2	19-Aug	MP6-1	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp3	Timepoint 3	3	4	None	Tp3_Cage6	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.11E+05	High	CIN 3	High	Persistent
LKMB005_068	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_068_S68_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_068_S68_R2_001.fastq.gz	08-19--MP6-2	LKMB005_068	Pilot	E2	19-Aug	MP6-2	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp3	Timepoint 3	3	4	None	Tp3_Cage6	Tp3_None	No	Infected	Infected	Infected	Infection Establishment (2wpi)	2 wks post-infection with MmuPV1	1.34E+04	High	CIN 3	High	Persistent
LKMB005_071	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_071_S71_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_071_S71_R2_001.fastq.gz	09-01--MP1-1	LKMB005_071	Pilot	E2	1-Sep	MP1-1	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage1	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	1.48E+06	High	Hyperplasia	Low	Cleared
LKMB005_072	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_072_S72_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_072_S72_R2_001.fastq.gz	09-01--MP1-2	LKMB005_072	Pilot	E2	1-Sep	MP1-2	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage1	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.10E+03	Low	CIN 2	Low	Cleared
LKMB005_073	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_073_S73_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_073_S73_R2_001.fastq.gz	09-01--MP1-3	LKMB005_073	Pilot	E2	1-Sep	MP1-3	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage1	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	1.17E+04	Low	CIN 2	Low	Close to cleared
LKMB005_074	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_074_S74_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_074_S74_R2_001.fastq.gz	09-01--MP1-4	LKMB005_074	Pilot	E2	1-Sep	MP1-4	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage1	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.38E+05	High	CIN 2	Low	Close to cleared
LKMB005_075	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_075_S75_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_075_S75_R2_001.fastq.gz	09-01--MP2-2	LKMB005_075	Pilot	E2	1-Sep	MP2-2	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage2	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.23E+05	High	CIN 2	Low	Persistent
LKMB005_076	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_076_S76_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_076_S76_R2_001.fastq.gz	09-01--MP2-3	LKMB005_076	Pilot	E2	1-Sep	MP2-3	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage2	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.13E+05	High	CIN 3	High	Persistent
LKMB005_077	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_077_S77_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_077_S77_R2_001.fastq.gz	09-01--MP2-4	LKMB005_077	Pilot	E2	1-Sep	MP2-4	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage2	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	3.12E+05	High	CIN 3	High	Persistent
LKMB005_078	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_078_S78_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_078_S78_R2_001.fastq.gz	09-01--MP3-1	LKMB005_078	Pilot	E2	1-Sep	MP3-1	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage3	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.46E+05	High	CIN 2	Low	Persistent
LKMB005_079	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_079_S79_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_079_S79_R2_001.fastq.gz	09-01--MP3-2	LKMB005_079	Pilot	E2	1-Sep	MP3-2	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage3	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.95E+05	High	CIN 3	High	Persistent
LKMB005_080	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_080_S80_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_080_S80_R2_001.fastq.gz	09-01--MP3-3	LKMB005_080	Pilot	E2	1-Sep	MP3-3	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp4	Timepoint 4	4	6	ABX	Tp4_Cage3	Tp4_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	6.72E+04	High	CIN 3	High	Persistent
LKMB005_081	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_081_S81_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_081_S81_R2_001.fastq.gz	09-01--MP4-1	LKMB005_081	Pilot	E2	1-Sep	MP4-1	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp4	Timepoint 4	4	6	None	Tp4_Cage4	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.89E+03	Low	CIN 3	High	Persistent
LKMB005_082	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R2_001.fastq.gz	09-01--MP4-2	LKMB005_082	Pilot	E2	1-Sep	MP4-2	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp4	Timepoint 4	4	6	None	Tp4_Cage4	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	4.26E+05	High	CIN 3	High	Persistent
LKMB005_083	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_083_S83_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_083_S83_R2_001.fastq.gz	09-01--MP4-3	LKMB005_083	Pilot	E2	1-Sep	MP4-3	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp4	Timepoint 4	4	6	None	Tp4_Cage4	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	4.38E+05	High	CIN 3	High	Persistent
LKMB005_084	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_084_S84_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_084_S84_R2_001.fastq.gz	09-01--MP5-1	LKMB005_084	Pilot	E2	1-Sep	MP5-1	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp4	Timepoint 4	4	6	None	Tp4_Cage5	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.22E+05	High	CIN 3	High	Persistent
LKMB005_085	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_085_S85_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_085_S85_R2_001.fastq.gz	09-01--MP5-2	LKMB005_085	Pilot	E2	1-Sep	MP5-2	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp4	Timepoint 4	4	6	None	Tp4_Cage5	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	5.21E+05	High	No Tissue	No Tissue	Unknown
LKMB005_086	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_086_S86_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_086_S86_R2_001.fastq.gz	09-01--MP5-3	LKMB005_086	Pilot	E2	1-Sep	MP5-3	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp4	Timepoint 4	4	6	None	Tp4_Cage5	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	1.35E+05	High	SCC	Cancer	Persistent
LKMB005_087	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_087_S87_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_087_S87_R2_001.fastq.gz	09-01--MP5-4	LKMB005_087	Pilot	E2	1-Sep	MP5-4	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp4	Timepoint 4	4	6	None	Tp4_Cage5	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	6.14E+05	High	CIN 2	Low	Persistent
LKMB005_088	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_088_S88_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_088_S88_R2_001.fastq.gz	09-01--MP6-1	LKMB005_088	Pilot	E2	1-Sep	MP6-1	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp4	Timepoint 4	4	6	None	Tp4_Cage6	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	3.72E+05	High	CIN 3	High	Persistent
LKMB005_089	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_089_S89_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_089_S89_R2_001.fastq.gz	09-01--MP6-2	LKMB005_089	Pilot	E2	1-Sep	MP6-2	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp4	Timepoint 4	4	6	None	Tp4_Cage6	Tp4_None	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	4 wks post-infection with MmuPV1	2.79E+04	High	CIN 3	High	Persistent
LKMB005_095	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_095_S97_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_095_S97_R2_001.fastq.gz	09-16--MP1-1	LKMB005_095	Pilot	E2	16-Sep	MP1-1	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp5	Timepoint 5	5	8	ABX	Tp5_Cage1	Tp5_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	6 wks post-infection with MmuPV1	1.15E+03	Low	Hyperplasia	Low	Cleared
LKMB005_096	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_096_S98_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_096_S98_R2_001.fastq.gz	09-16--MP1-2	LKMB005_096	Pilot	E2	16-Sep	MP1-2	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp5	Timepoint 5	5	8	ABX	Tp5_Cage1	Tp5_ABX	No	Infected	Infected	Infected	Early Infection (4 & 6wpi)	6 wks post-infection with MmuPV1	3.64E+03	Low	CIN 2	Low	Cleared
