"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","SampleNO","Ex","ShortID","FullID","MouseID","Cage","Group","Infected","ABX","Timepoint","Tp.Inf.ABX.Group","LevageDate","PostInfection.wk.","InfectStageML","PostABx.wk.","Notes","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"5681","a3905a301aebbc2efdb2a4d3ab91aa74","LK16S009-365",0.174004192872117,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-365_S177_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-365_S177_L001_R2_001.fastq.gz",153,"E4","MV-153","T6-M-31.1-B","M-31.1-B","Cage 31","Infected ABX","Infected","ABX","6","T6 Infected ABX","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",420000,"High","At least CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2968","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-242",0.173758865248227,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-242_S54_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-242_S54_L001_R2_001.fastq.gz",27,"E4","MV-27","T2-M-24.A.1-B","M-24.A.1-B","Cage 24A","Mock None","Mock","None","2","T2 Mock None","1.25.21","7","Early Infection 5 & 7 wpi","2","",5690,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1929","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-252",0.173352435530086,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-252_S64_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-252_S64_L001_R2_001.fastq.gz",37,"E4","MV-37","T2-M-26.3-B","M-26.3-B","Cage 26","Infected ABX","Infected","ABX","2","T2 Infected ABX","1.25.21","7","Early Infection 5 & 7 wpi","2","",234000,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2033","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-272",0.172670807453416,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-272_S84_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-272_S84_L001_R2_001.fastq.gz",57,"E4","MV-57","T3-M-25.1-B","M-25.1-B","Cage 25","Infected ABX","Infected","ABX","3","T3 Infected ABX","2.8.21","9","Mid Infection 9 & 14 wpi","4","",28900,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"6669","bdccae8fdc6ed48bafdbf91fe0221269","LK16S009-251",0.17258064516129,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-251_S63_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-251_S63_L001_R2_001.fastq.gz",36,"E4","MV-36","T2-M-26.2-B","M-26.2-B","Cage 26","Infected ABX","Infected","ABX","2","T2 Infected ABX","1.25.21","7","Early Infection 5 & 7 wpi","2","",7.72e+10,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"5709","a3905a301aebbc2efdb2a4d3ab91aa74","LK16S009-263",0.172413793103448,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-263_S75_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-263_S75_L001_R2_001.fastq.gz",48,"E4","MV-48","T2-M-30.3-B","M-30.3-B","Cage 30","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",268000,"High","At least CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2041","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-262",0.172115384615385,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-262_S74_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-262_S74_L001_R2_001.fastq.gz",47,"E4","MV-47","T2-M-30.2-B","M-30.2-B","Cage 30","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",67500,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2013","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-229",0.17206132879046,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-229_S41_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-229_S41_L001_R2_001.fastq.gz",14,"E4","MV-14","T1-M-28.2-B","M-28.2-B","Cage 28","Infected None","Infected","None","1","T1 Infected None","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",218000,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"5605","a3905a301aebbc2efdb2a4d3ab91aa74","LK16S009-238",0.171875,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-238_S50_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-238_S50_L001_R2_001.fastq.gz",23,"E4","MV-23","T1-M-31.1-B","M-31.1-B","Cage 31","Infected ABX","Infected","ABX","1","T1 Infected ABX","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",478000,"High","At least CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"3058","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-295",0.171816309220889,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-295_S107_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-295_S107_L001_R2_001.fastq.gz",80,"E4","MV-80","T4-M-24.A.2-B","M-24.A.2-B","Cage 24A","Mock None","Mock","None","4","T4 Mock None","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1469","27f682a2c16ce886f8c47b3fc15621cd","LK16S009-346",0.171539961013645,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-346_S158_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-346_S158_L001_R2_001.fastq.gz",133,"E4","MV-133","T6-M-24.B.1-B","M-24.B.1-B","Cage 24B","Mock ABX","Mock","ABX","6","T6 Mock ABX","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",38.1,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"3980","7ba6db0e63f1881366d716ec44b903fc","LK16S009-367",0.171337069655725,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-367_S179_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-367_S179_L001_R2_001.fastq.gz",155,"E4","MV-155","T6-M-31.3-B","M-31.3-B","Cage 31","Infected ABX","Infected","ABX","6","T6 Infected ABX","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",10500000,"High","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"8388","dbbc63b3f43b8a88686db2cea99f071e","LK16S009-285",0.170212765957447,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-285_S97_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-285_S97_L001_R2_001.fastq.gz",70,"E4","MV-70","T3-M-29.2-B","M-29.2-B","Cage 29","Infected None","Infected","None","3","T3 Infected None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",61.9,"Low","Normal/Hyperplasia","None","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia"
"2967","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-286",0.16914749661705,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-286_S98_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-286_S98_L001_R2_001.fastq.gz",71,"E4","MV-71","T3-M-29.3-B","M-29.3-B","Cage 29","Infected None","Infected","None","3","T3 Infected None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",107000,"High","CIN3","High","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1951","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-255",0.168993168993169,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-255_S67_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-255_S67_L001_R2_001.fastq.gz",40,"E4","MV-40","T2-M-28.2-B","M-28.2-B","Cage 28","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",28600,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2484","47e8d2b4c891afe664f1a9976ac905a0","LK16S009-297",0.168912566593544,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-297_S109_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-297_S109_L001_R2_001.fastq.gz",82,"E4","MV-82","T4-M-24.B.2-B","M-24.B.2-B","Cage 24B","Mock ABX","Mock","ABX","4","T4 Mock ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","Normal","None","Mock","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"4124","7f8774a733c57d1db0f78058075b70b7","LK16S009-274",0.167904054825814,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-274_S86_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-274_S86_L001_R2_001.fastq.gz",59,"E4","MV-59","T3-M-25.3-B","M-25.3-B","Cage 25","Infected ABX","Infected","ABX","3","T3 Infected ABX","2.8.21","9","Mid Infection 9 & 14 wpi","4","",35600,"High","CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"2045","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-361",0.167723061921014,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-361_S173_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-361_S173_L001_R2_001.fastq.gz",149,"E4","MV-149","T6-M-29.3-B","M-29.3-B","Cage 29","Infected None","Infected","None","6","T6 Infected None","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",209,"Low","CIN3","High","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"3077","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-262",0.167307692307692,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-262_S74_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-262_S74_L001_R2_001.fastq.gz",47,"E4","MV-47","T2-M-30.2-B","M-30.2-B","Cage 30","Infected None","Infected","None","2","T2 Infected None","1.25.21","7","Early Infection 5 & 7 wpi","2","",67500,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2356","47e8d2b4c891afe664f1a9976ac905a0","LK16S009-326",0.167300380228137,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-326_S138_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-326_S138_L001_R2_001.fastq.gz",113,"E4","MV-113","T5-M-26.1-B","M-26.1-B","Cage 26","Infected ABX","Infected","ABX","5","T5 Infected ABX","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","CIN3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2544","49c7180d4de431e2238e3e9d8b42f3ef","LK16S009-351",0.166301969365427,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-351_S163_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-351_S163_L001_R2_001.fastq.gz",139,"E4","MV-139","T6-M-26.1-B","M-26.1-B","Cage 26","Infected ABX","Infected","ABX","6","T6 Infected ABX","6.1.21","24.5","Late Infection 18 & 25 wpi","20","End Point",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"2039","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-296",0.166197183098592,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-296_S108_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-296_S108_L001_R2_001.fastq.gz",81,"E4","MV-81","T4-M-24.B.1-B","M-24.B.1-B","Cage 24B","Mock ABX","Mock","ABX","4","T4 Mock ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2015","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-281",0.165521978021978,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-281_S93_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-281_S93_L001_R2_001.fastq.gz",66,"E4","MV-66","T3-M-28.2-B","M-28.2-B","Cage 28","Infected None","Infected","None","3","T3 Infected None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",94500,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2002","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-321",0.165316901408451,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-321_S133_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-321_S133_L001_R2_001.fastq.gz",107,"E4","MV-107","T5-M-24.B.1-B","M-24.B.1-B","Cage 24B","Mock ABX","Mock","ABX","5","T5 Mock ABX","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1989","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-297",0.163585083046067,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-297_S109_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-297_S109_L001_R2_001.fastq.gz",82,"E4","MV-82","T4-M-24.B.2-B","M-24.B.2-B","Cage 24B","Mock ABX","Mock","ABX","4","T4 Mock ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","Normal","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1227","2187cb4ecf170162b71d74df73540614","LK16S009-279",0.163344051446945,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-279_S91_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-279_S91_L001_R2_001.fastq.gz",64,"E4","MV-64","T3-M-26.4-B","M-26.4-B","Cage 26","Infected ABX","Infected","ABX","3","T3 Infected ABX","2.8.21","9","Mid Infection 9 & 14 wpi","4","",2990,"Low","CIN3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria"
"6421","ba74bc2d9784d7cceb6e4d8ff377ecae","LK16S009-220",0.162007623888183,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-220_S32_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-220_S32_L001_R2_001.fastq.gz",5,"E4","MV-5","T1-M-25.1-B","M-25.1-B","Cage 25","Infected ABX","Infected","ABX","1","T1 Infected ABX","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",892000,"High","CIN3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"8508","dbbc63b3f43b8a88686db2cea99f071e","LK16S009-244",0.161369193154034,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-244_S56_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-244_S56_L001_R2_001.fastq.gz",29,"E4","MV-29","T2-M-24.B.1-B","M-24.B.1-B","Cage 24B","Mock ABX","Mock","ABX","2","T2 Mock ABX","1.25.21","7","Early Infection 5 & 7 wpi","2","",175,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia"
"1914","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-304",0.16025641025641,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-304_S116_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-304_S116_L001_R2_001.fastq.gz",90,"E4","MV-90","T4-M-26.4-B","M-26.4-B","Cage 26","Infected ABX","Infected","ABX","4","T4 Infected ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"343","0f9670c7cec44540f1d8cd810c8af80e","LK16S009-289",0.159574468085106,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-289_S101_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-289_S101_L001_R2_001.fastq.gz",74,"E4","MV-74","T3-M-30.3-B","M-30.3-B","Cage 30","Infected None","Infected","None","3","T3 Infected None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",1590000,"High","At least CIN3","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
"2977","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-301",0.158914728682171,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-301_S113_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-301_S113_L001_R2_001.fastq.gz",87,"E4","MV-87","T4-M-26.1-B","M-26.1-B","Cage 26","Infected ABX","Infected","ABX","4","T4 Infected ABX","3.16.21","14","Mid Infection 9 & 14 wpi","9","",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2043","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-283",0.1588220488296,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-283_S95_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-283_S95_L001_R2_001.fastq.gz",68,"E4","MV-68","T3-M-28.4-B","M-28.4-B","Cage 28","Infected None","Infected","None","3","T3 Infected None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",72900,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"3038","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-231",0.15843621399177,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-231_S43_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-231_S43_L001_R2_001.fastq.gz",16,"E4","MV-16","T1-M-28.4-B","M-28.4-B","Cage 28","Infected None","Infected","None","1","T1 Infected None","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",819000,"High","CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1927","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-268",0.158134243458476,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-268_S80_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-268_S80_L001_R2_001.fastq.gz",53,"E4","MV-53","T3-M-24.A.1-B","M-24.A.1-B","Cage 24A","Mock None","Mock","None","3","T3 Mock None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",91,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2378","47e8d2b4c891afe664f1a9976ac905a0","LK16S009-220",0.157560355781449,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-220_S32_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-220_S32_L001_R2_001.fastq.gz",5,"E4","MV-5","T1-M-25.1-B","M-25.1-B","Cage 25","Infected ABX","Infected","ABX","1","T1 Infected ABX","1.6.21","4.5","Early Infection 5 & 7 wpi","0","""1st CVL, pre-Abx""",892000,"High","CIN3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"3021","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-341",0.157284768211921,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-341_S153_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-341_S153_L001_R2_001.fastq.gz",128,"E4","MV-128","T5-M-31.2-B","M-31.2-B","Cage 31","Infected ABX","Infected","ABX","5","T5 Infected ABX","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","At least CIN3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"9197","ebdd766968af37cc4ef61fa4e8a9a147","LK16S009-269",0.157116744814432,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-269_S81_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-269_S81_L001_R2_001.fastq.gz",54,"E4","MV-54","T3-M-24.A.2-B","M-24.A.2-B","Cage 24A","Mock None","Mock","None","3","T3 Mock None","2.8.21","9","Mid Infection 9 & 14 wpi","4","",568,"Mock","Normal/Hyperplasia","None","Mock","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"7876","d1d32f5e2af125cca03ee71eb338257e","LK16S009-330",0.156441717791411,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-330_S142_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-330_S142_L001_R2_001.fastq.gz",117,"E4","MV-117","T5-M-28.1-B","M-28.1-B","Cage 28","Infected None","Infected","None","5","T5 Infected None","4.14.21","18","Late Infection 18 & 25 wpi","13","",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum"
