"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Tp.Cage","Tp.ABX","NaturalMicro","Infected","InfectStage2","InfectStageDepo","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","InfectStage","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Tp.Infect","ABX.Infect","Tp.ABX.Infect","InfectionStage","InfectStagePreUM","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8391","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_041",0.117049520951172,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R2_001.fastq.gz","08-04--MP5-4","LKMB005_041","Pilot","E2","4-Aug","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2","2","2","None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","Low","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"150","0298852f19d9f0198583f904aa6c5c3f","LK16S004-084",0.1169757489301,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R2_001.fastq.gz","08-19-M6-1","LK16S004_084","Baseline","E3","8/19/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA
"4449","81825d4efdd2ba751d883dc6dc0ca73c","LK16S004-103",0.113943028485757,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_103_S105_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_103_S105_R2_001.fastq.gz","08-19-M11-2","LK16S004_103","Baseline","E3","8/19/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Tp3_Cage11","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","reuteri"
"7291","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_038",0.11189358372457,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R2_001.fastq.gz","08-04--MP5-1","LKMB005_038","Pilot","E2","4-Aug","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2","2","2","None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"6610","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-084",0.11055634807418,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R2_001.fastq.gz","08-19-M6-1","LK16S004_084","Baseline","E3","8/19/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"3065","4d031dcebe39427cf5ce0610c37486af","LK16S004-012",0.1075,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R2_001.fastq.gz","07-28-M6-1","LK16S004_012","Baseline","E3","7/28/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Tp1_Cage6","Tp1_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"8421","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_013",0.106205474315711,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R2_001.fastq.gz","07-21--MP4-2","LKMB005_013","Pilot","E2","21-Jul","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1","1","0","None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"4656","8632dac767a978f390c0739543c2a1a6","LK16S004-020",0.105055906660185,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_020_S20_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_020_S20_R2_001.fastq.gz","07-28-M8-2","LK16S004_020","Baseline","E3","7/28/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"7174","d3300abd8f0d5934b5a53edde25f15c1","LK16S004-017",0.104838709677419,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R2_001.fastq.gz","07-28-M07-2","LK16S004_017","Baseline","E3","7/28/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp1","Timepoint 1","1","0","None","Tp1_Cage7","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3",NA,NA,NA,"Tp1_Infected","None_Infected","Tp1_None_Infected","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA
"8884","f36c161e4341ca7c0fd5d7615f736706","LK16S004-104",0.103448275862069,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R2_001.fastq.gz","08-19-M11-3","LK16S004_104","Baseline","E3","8/19/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Tp3_Cage11","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN2",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"3128","4e269cbdd41f328dabf501e891c0c3ce","LK16S004-094",0.103012633624879,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R2_001.fastq.gz","08-19-M08-4","LK16S004_094","Baseline","E3","8/19/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus",NA
"7301","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_037",0.10069774817634,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_037_S37_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_037_S37_R2_001.fastq.gz","08-04--MP4-3","LKMB005_037","Pilot","E2","4-Aug","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp2","Timepoint 2","2","2","None","Tp2_Cage4","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"3147","4e269cbdd41f328dabf501e891c0c3ce","LK16S004-084",0.0984308131241084,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R2_001.fastq.gz","08-19-M6-1","LK16S004_084","Baseline","E3","8/19/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus",NA
"6599","c3c6b35a7e7fd0a56aab3c29bd47737b","LKMB005_018",0.0972016682362438,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R2_001.fastq.gz","07-21--MP5-4","LKMB005_018","Pilot","E2","21-Jul","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1","1","0","None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Low","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"5884","af4da666b6f3aef671fa68d50794c39f","LK16S004-017",0.0967741935483871,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R2_001.fastq.gz","07-28-M07-2","LK16S004_017","Baseline","E3","7/28/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp1","Timepoint 1","1","0","None","Tp1_Cage7","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3",NA,NA,NA,"Tp1_Infected","None_Infected","Tp1_None_Infected","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"7110","d0b654e775c2b737313af365f914fb3b","LK16S004-104",0.096551724137931,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R2_001.fastq.gz","08-19-M11-3","LK16S004_104","Baseline","E3","8/19/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Tp3_Cage11","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN2",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","Low","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"5887","af4da666b6f3aef671fa68d50794c39f","LK16S004-086",0.0956521739130435,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_086_S86_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_086_S86_R2_001.fastq.gz","08-19-M6-3","LK16S004_086","Baseline","E3","8/19/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"7254","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_040",0.0952227243382828,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R2_001.fastq.gz","08-04--MP5-3","LKMB005_040","Pilot","E2","4-Aug","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2","2","2","None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","Cancer","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"6592","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-093",0.0930232558139535,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R2_001.fastq.gz","08-19-M08-3","LK16S004_093","Baseline","E3","8/19/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"8405","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_036",0.089145358670779,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_036_S36_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_036_S36_R2_001.fastq.gz","08-04--MP4-2","LKMB005_036","Pilot","E2","4-Aug","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp2","Timepoint 2","2","2","None","Tp2_Cage4","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"7074","d0b654e775c2b737313af365f914fb3b","LK16S004-031",0.0882352941176471,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_031_S31_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_031_S31_R2_001.fastq.gz","07-28-M11-2","LK16S004_031","Baseline","E3","7/28/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp1","Timepoint 1","1","0","None","Tp1_Cage11","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Infected","None_Infected","Tp1_None_Infected","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1064","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-095",0.0880952380952381,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_095_S97_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_095_S97_R2_001.fastq.gz","08-19-M08-5","LK16S004_095","Baseline","E3","8/19/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",NA
"8571","ecffc2022c0e89787d19d43381a157a7","LK16S004-023",0.087719298245614,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_023_S23_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_023_S23_R2_001.fastq.gz","07-28-M8-5","LK16S004_023","Baseline","E3","7/28/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"8900","f36c161e4341ca7c0fd5d7615f736706","LK16S004-023",0.087719298245614,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_023_S23_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_023_S23_R2_001.fastq.gz","07-28-M8-5","LK16S004_023","Baseline","E3","7/28/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"8401","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_040",0.0858618463524855,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R2_001.fastq.gz","08-04--MP5-3","LKMB005_040","Pilot","E2","4-Aug","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2","2","2","None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","Cancer","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"8439","e8820a8b0ccb14b286019c21e8bfcf00","LKMB005_038",0.0845070422535211,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_038_S38_R2_001.fastq.gz","08-04--MP5-1","LKMB005_038","Pilot","E2","4-Aug","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2","2","2","None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"8923","f36c161e4341ca7c0fd5d7615f736706","LK16S004-021",0.0842696629213483,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_021_S21_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_021_S21_R2_001.fastq.gz","07-28-M8-3","LK16S004_021","Baseline","E3","7/28/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"8905","f36c161e4341ca7c0fd5d7615f736706","LK16S004-019",0.0829973915105525,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R2_001.fastq.gz","07-28-M8-1","LK16S004_019","Baseline","E3","7/28/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"1303","206f8c4ad7b0b122a6c684d6fb222a85","LK16S004-054",0.0814940577249576,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_054_S54_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_054_S54_R2_001.fastq.gz","08-12-M6-3","LK16S004_054","Baseline","E3","8/12/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Tp2_Cage6","Tp2_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp2_Untouched","None_Untouched","Tp2_None_Untouched","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","rhizosphaerae"
"5597","a90fe630a0792bbfa2063b6d90190bac","LK16S004-094",0.0811467444120505,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R2_001.fastq.gz","08-19-M08-4","LK16S004_094","Baseline","E3","8/19/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA
"7643","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-093",0.0801033591731266,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R2_001.fastq.gz","08-19-M08-3","LK16S004_093","Baseline","E3","8/19/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
